CountryName,Continent,Rank,Title,Artists,Album,Explicit,Duration,value
Argentina,South America,1,Colocao,Nicki Nicole,Colocao,1,2:59,8579.01777315683
Australia,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,51692.8427477695
Austria,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29,48586.8013213238
Belgium,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,45159.3482229717
Bolivia,South America,1,Rojo,J Balvin,Colores,0,2:30,3133.09980321504
Brazil,South America,1,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,O Embaixador in Cariri (Ao Vivo),0,3:57,6796.84454227877
Bulgaria,Europe,1,GOOBA,6ix9ine,GOOBA,1,2:12,10079.2033812203
Canada,North America,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,43294.6481631917
Chile,South America,1,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE (Remix),1,3:47,13231.7042069381
Colombia,South America,1,Rojo,J Balvin,Colores,0,2:30,5334.55604233917
Costa Rica,North America,1,Rojo,J Balvin,Colores,0,2:30,12140.8541545754
Czech Republic,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,22931.2745975622
Denmark,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,61063.3164304238
Dominican Republic,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,7268.1969096591
Ecuador,South America,1,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52,5600.38961495341
El Salvador,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,3798.63652082321
Estonia,Europe,1,Croissantid,Nublu,Croissantid,0,2:36,23027.0269956294
Finland,Europe,1,Tässäkö tää oli? (feat. Leavings-Orkesteri),"Arttu Wiskari, Leavings-Orkesteri",Tässäkö tää oli? (feat. Leavings-Orkesteri),0,3:42,48744.9881267787
France,Europe,1,Angela,Hatik,Chaise pliante,1,3:56,39030.3603713482
Germany,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29,46208.4294717472
Greece,Europe,1,Millionaire,Snik,TOPBOY,1,2:35,17622.5410033504
Guatemala,North America,1,Rojo,J Balvin,Colores,0,2:30,4603.33961670975
Honduras,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,2389.012430771
Hungary,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,15980.740889649
Iceland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,59270.1800510483
India,Asia,1,Shayad,"Pritam, Arijit Singh",Love Aaj Kal (Original Motion Picture Soundtrack),0,4:07,1927.70782309335
Indonesia,Asia,1,LATHI (ꦭꦛꦶ),"Weird Genius, Sara Fajira",LATHI (ꦭꦛꦶ),0,3:08,3869.58842704537
Ireland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,85267.7647437582
Israel,Asia,1,Blinding Lights,The Weeknd,After Hours,0,3:20,44168.9436355026
Italy,Europe,1,Good Times,Ghali,DNA,0,2:43,31714.2209467105
Japan,Asia,1,夜に駆ける,YOASOBI,夜に駆ける,0,4:21,40193.2524448357
Latvia,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,17726.2529351368
Lithuania,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,20233.6413480843
Luxembourg,Europe,1,No Time To Die,Billie Eilish,No Time To Die,0,4:02,116014.602496869
Malaysia,Asia,1,Suasana Di Hari Raya,Anuar & Ellina,Suasana Di Hari Raya,0,3:15,10412.3489834381
Malta,Europe,1,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,0,4:01,27884.6428274251
Mexico,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,8329.27131263927
Netherlands,Europe,1,Gordelweg,Kevin,Gordelweg,1,2:35,52397.1167129558
New Zealand,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,41441.4666667011
Nicaragua,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,1905.26115155921
Norway,Europe,1,Svag,Victor Leksell,Svag,0,3:11,67329.6777910967
Panama,North America,1,Relación,Sech,1 of 1,0,3:04,12509.8352901414
Paraguay,South America,1,Rojo,J Balvin,Colores,0,2:30,5001.07276045191
Peru,South America,1,Favorito,Camilo,Por Primera Vez,0,3:29,6126.87453978867
Philippines,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,3298.82958569657
Poland,Europe,1,BUBBLETEA,"Quebonafide, Daria Zawiałow",ROMANTIC PSYCHO,0,4:44,15720.994663556
Portugal,Europe,1,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07,22176.2967116929
Romania,Europe,1,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45,12896.0886211622
Singapore,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,59797.7521801188
South Africa,Africa,1,Blinding Lights,The Weeknd,After Hours,0,3:20,5655.86765390396
Spain,Europe,1,PAM,"Justin Quiles, Daddy Yankee, El Alfa",PAM,1,3:21,27063.1939180299
Sweden,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,52274.4087868798
Switzerland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,87097.0364503764
Thailand,Asia,1,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,คิด(แต่ไม่)ถึง (Same Page?),0,4:26,7186.87409206525
Turkey,Europe,1,Spacejump,BEGE,Spacejump,0,1:58,8536.43331960632
United Kingdom,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,41059.1688090547
United States,North America,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,63593.4436209541
Uruguay,South America,1,Favorito,Camilo,Por Primera Vez,0,3:29,15438.4116657291
Vietnam,Asia,1,em bỏ hút thuốc chưa?,"Bich Phuong, traitimtrongvang",tâm trạng tan hơi chậm một chút,0,3:36,2785.72416087603
